dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,1,0.010,0.010,0.007,0.008,dog,1
animal,100,53,0.530,0.530,0.392,0.483,cow,40
ants1,325,2,0.006,0.006,0.003,0.005,bird,2
bag,311,83,0.267,0.266,0.225,0.252,traffic light,30
ball2,41,5,0.122,0.122,0.071,0.098,sports ball,5
ball3,171,49,0.287,0.286,0.187,0.218,sports ball,38
basketball,725,691,0.953,0.948,0.705,0.857,person,691
birds1,339,273,0.805,0.805,0.461,0.620,bird,270
birds2,80,62,0.775,0.773,0.578,0.681,bird,62
bolt1,350,345,0.986,0.982,0.654,0.835,person,345
book,175,42,0.240,0.239,0.188,0.219,book,20
bubble,243,118,0.486,0.484,0.426,0.457,frisbee,79
butterfly,151,39,0.258,0.257,0.215,0.243,bird,39
car1,742,699,0.942,0.935,0.760,0.851,car,624
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,22,0.138,0.137,0.092,0.113,horse,18
dinosaur,326,54,0.166,0.161,0.115,0.137,banana,34
diver,241,147,0.610,0.606,0.393,0.488,person,147
drone1,355,7,0.020,0.020,0.010,0.017,airplane,7
drone_across,147,12,0.082,0.082,0.046,0.062,airplane,7
fernando,292,242,0.829,0.820,0.679,0.756,cat,209
fish1,366,7,0.019,0.019,0.012,0.015,bird,7
fish2,310,12,0.039,0.038,0.023,0.031,bird,12
flamingo1,1377,0,0.000,0.000,0.000,0.000,,0
frisbee,248,203,0.819,0.818,0.502,0.637,frisbee,172
girl,1500,1479,0.986,0.980,0.760,0.887,person,1479
graduate,844,772,0.915,0.907,0.665,0.814,person,772
gymnastics1,567,539,0.951,0.936,0.645,0.848,person,539
gymnastics2,240,239,0.996,0.992,0.739,0.872,person,239
gymnastics3,118,70,0.593,0.588,0.372,0.452,person,70
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,0,0.000,0.000,0.000,0.000,,0
handball1,377,117,0.310,0.309,0.146,0.234,person,117
handball2,402,62,0.154,0.154,0.075,0.111,person,62
helicopter,708,509,0.719,0.706,0.434,0.594,kite,312
iceskater1,661,657,0.994,0.975,0.739,0.896,person,657
iceskater2,707,587,0.830,0.816,0.561,0.690,person,587
kangaroo,87,37,0.425,0.416,0.323,0.368,bird,17
lamb,100,95,0.950,0.946,0.696,0.803,sheep,89
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,1,0.010,0.010,0.005,0.007,person,1
matrix,100,13,0.130,0.129,0.078,0.099,person,13
monkey,101,91,0.901,0.898,0.743,0.833,cow,50
motocross1,164,2,0.012,0.012,0.009,0.011,baseball glove,2
nature,999,947,0.948,0.943,0.806,0.893,bird,947
polo,111,109,0.982,0.980,0.651,0.810,person,109
rabbit,158,2,0.013,0.013,0.008,0.011,dog,1
rabbit2,100,74,0.740,0.738,0.574,0.649,dog,54
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,3,0.008,0.008,0.004,0.006,person,3
singer2,366,366,1.000,0.983,0.723,0.847,person,366
singer3,131,32,0.244,0.195,0.139,0.178,person,32
snake,101,2,0.020,0.020,0.013,0.016,bird,2
soccer1,392,8,0.020,0.020,0.015,0.017,person,8
soccer2,129,94,0.729,0.728,0.464,0.608,person,94
soldier,138,2,0.014,0.014,0.011,0.013,person,2
surfing,120,118,0.983,0.982,0.642,0.871,person,118
tennis,213,0,0.000,0.000,0.000,0.000,,0
tiger,365,8,0.022,0.022,0.014,0.018,bird,8
wheel,101,1,0.010,0.010,0.006,0.008,skateboard,1
wiper,341,266,0.780,0.778,0.559,0.664,car,211
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
