dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,0,0.000,0.000,0.000,0.000,,0
animal,100,0,0.000,0.000,0.000,0.000,,0
ants1,325,0,0.000,0.000,0.000,0.000,,0
bag,311,71,0.228,0.228,0.198,0.219,traffic light,27
ball2,41,0,0.000,0.000,0.000,0.000,,0
ball3,171,0,0.000,0.000,0.000,0.000,,0
basketball,725,58,0.080,0.080,0.065,0.075,person,58
birds1,339,0,0.000,0.000,0.000,0.000,,0
birds2,80,8,0.100,0.100,0.086,0.094,bird,8
bolt1,350,0,0.000,0.000,0.000,0.000,,0
book,175,26,0.149,0.148,0.126,0.141,laptop,15
bubble,243,103,0.424,0.423,0.384,0.407,frisbee,70
butterfly,151,31,0.205,0.204,0.176,0.196,bird,31
car1,742,447,0.602,0.599,0.526,0.571,car,375
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,0,0.000,0.000,0.000,0.000,,0
dinosaur,326,2,0.006,0.006,0.005,0.006,banana,2
diver,241,18,0.075,0.074,0.063,0.070,person,18
drone1,355,0,0.000,0.000,0.000,0.000,,0
drone_across,147,0,0.000,0.000,0.000,0.000,,0
fernando,292,178,0.610,0.603,0.517,0.568,cat,159
fish1,366,1,0.003,0.003,0.002,0.003,bird,1
fish2,310,0,0.000,0.000,0.000,0.000,,0
flamingo1,1377,0,0.000,0.000,0.000,0.000,,0
frisbee,248,1,0.004,0.004,0.003,0.004,frisbee,1
girl,1500,421,0.281,0.279,0.231,0.261,person,421
graduate,844,217,0.257,0.253,0.220,0.244,person,217
gymnastics1,567,80,0.141,0.138,0.116,0.135,person,80
gymnastics2,240,51,0.212,0.212,0.174,0.199,person,51
gymnastics3,118,0,0.000,0.000,0.000,0.000,,0
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,0,0.000,0.000,0.000,0.000,,0
handball1,377,0,0.000,0.000,0.000,0.000,,0
handball2,402,0,0.000,0.000,0.000,0.000,,0
helicopter,708,2,0.003,0.003,0.002,0.003,sports ball,2
iceskater1,661,62,0.094,0.092,0.077,0.088,person,62
iceskater2,707,24,0.034,0.034,0.027,0.031,person,24
kangaroo,87,17,0.195,0.193,0.165,0.181,bird,9
lamb,100,23,0.230,0.229,0.188,0.209,sheep,20
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,0,0.000,0.000,0.000,0.000,,0
matrix,100,0,0.000,0.000,0.000,0.000,,0
monkey,101,74,0.733,0.731,0.618,0.687,cow,43
motocross1,164,1,0.006,0.006,0.005,0.006,baseball glove,1
nature,999,809,0.810,0.806,0.704,0.773,bird,809
polo,111,1,0.009,0.009,0.007,0.008,person,1
rabbit,158,0,0.000,0.000,0.000,0.000,,0
rabbit2,100,35,0.350,0.349,0.288,0.322,dog,25
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,0,0.000,0.000,0.000,0.000,,0
singer2,366,84,0.230,0.226,0.190,0.212,person,84
singer3,131,0,0.000,0.000,0.000,0.000,,0
snake,101,0,0.000,0.000,0.000,0.000,,0
soccer1,392,3,0.008,0.008,0.006,0.007,person,3
soccer2,129,0,0.000,0.000,0.000,0.000,,0
soldier,138,1,0.007,0.007,0.006,0.007,person,1
surfing,120,0,0.000,0.000,0.000,0.000,,0
tennis,213,0,0.000,0.000,0.000,0.000,,0
tiger,365,0,0.000,0.000,0.000,0.000,,0
wheel,101,0,0.000,0.000,0.000,0.000,,0
wiper,341,60,0.176,0.176,0.145,0.162,car,34
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
