dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,1,0.010,0.010,0.007,0.008,dog,1
animal,100,53,0.530,0.530,0.392,0.483,cow,40
ants1,325,2,0.006,0.006,0.003,0.005,bird,2
bag,311,86,0.277,0.276,0.229,0.257,traffic light,30
ball2,41,5,0.122,0.122,0.071,0.098,sports ball,5
ball3,171,51,0.298,0.298,0.192,0.223,sports ball,39
basketball,725,705,0.972,0.967,0.711,0.866,person,705
birds1,339,292,0.861,0.861,0.480,0.649,bird,289
birds2,80,75,0.938,0.935,0.632,0.763,bird,75
bolt1,350,345,0.986,0.982,0.654,0.835,person,345
book,175,43,0.246,0.245,0.191,0.223,book,20
bubble,243,118,0.486,0.484,0.426,0.457,frisbee,79
butterfly,151,39,0.258,0.257,0.215,0.243,bird,39
car1,742,702,0.946,0.938,0.761,0.853,car,627
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,24,0.150,0.150,0.096,0.118,horse,20
dinosaur,326,63,0.193,0.188,0.123,0.149,banana,34
diver,241,152,0.631,0.627,0.401,0.499,person,152
drone1,355,7,0.020,0.020,0.010,0.017,airplane,7
drone_across,147,12,0.082,0.082,0.046,0.062,airplane,7
fernando,292,275,0.942,0.929,0.712,0.808,cat,223
fish1,366,7,0.019,0.019,0.012,0.015,bird,7
fish2,310,16,0.052,0.051,0.027,0.037,bird,16
flamingo1,1377,7,0.005,0.005,0.001,0.002,bird,7
frisbee,248,215,0.867,0.866,0.519,0.663,frisbee,183
girl,1500,1485,0.990,0.984,0.761,0.889,person,1485
graduate,844,772,0.915,0.907,0.665,0.814,person,772
gymnastics1,567,541,0.954,0.940,0.646,0.850,person,541
gymnastics2,240,240,1.000,0.996,0.741,0.875,person,240
gymnastics3,118,78,0.661,0.655,0.394,0.484,person,78
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,1,0.007,0.007,0.002,0.002,remote,1
handball1,377,259,0.687,0.685,0.266,0.458,person,259
handball2,402,81,0.201,0.201,0.091,0.136,person,81
helicopter,708,553,0.781,0.767,0.457,0.637,kite,356
iceskater1,661,657,0.994,0.975,0.739,0.896,person,657
iceskater2,707,628,0.888,0.871,0.577,0.715,person,628
kangaroo,87,38,0.437,0.428,0.325,0.372,bird,17
lamb,100,97,0.970,0.965,0.703,0.813,sheep,91
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,1,0.010,0.010,0.005,0.007,person,1
matrix,100,27,0.270,0.261,0.113,0.155,person,27
monkey,101,91,0.901,0.898,0.743,0.833,cow,50
motocross1,164,3,0.018,0.018,0.011,0.013,baseball glove,2
nature,999,948,0.949,0.944,0.806,0.893,bird,948
polo,111,109,0.982,0.980,0.651,0.810,person,109
rabbit,158,2,0.013,0.013,0.008,0.011,dog,1
rabbit2,100,74,0.740,0.738,0.574,0.649,dog,54
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,10,0.027,0.026,0.009,0.014,person,10
singer2,366,366,1.000,0.983,0.723,0.847,person,366
singer3,131,64,0.489,0.370,0.214,0.292,person,64
snake,101,2,0.020,0.020,0.013,0.016,bird,2
soccer1,392,43,0.110,0.102,0.037,0.054,person,43
soccer2,129,100,0.775,0.775,0.481,0.633,person,100
soldier,138,3,0.022,0.021,0.013,0.016,person,3
surfing,120,118,0.983,0.982,0.642,0.871,person,118
tennis,213,99,0.465,0.463,0.128,0.201,tennis racket,99
tiger,365,9,0.025,0.024,0.015,0.019,bird,9
wheel,101,5,0.050,0.049,0.017,0.028,skateboard,5
wiper,341,274,0.804,0.801,0.567,0.676,car,219
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
