dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,0,0.000,0.000,0.000,0.000,,0
animal,100,0,0.000,0.000,0.000,0.000,,0
ants1,325,0,0.000,0.000,0.000,0.000,,0
bag,311,12,0.039,0.038,0.035,0.037,toilet,5
ball2,41,0,0.000,0.000,0.000,0.000,,0
ball3,171,0,0.000,0.000,0.000,0.000,,0
basketball,725,0,0.000,0.000,0.000,0.000,,0
birds1,339,0,0.000,0.000,0.000,0.000,,0
birds2,80,1,0.013,0.012,0.011,0.012,bird,1
bolt1,350,0,0.000,0.000,0.000,0.000,,0
book,175,0,0.000,0.000,0.000,0.000,,0
bubble,243,75,0.309,0.308,0.284,0.300,frisbee,55
butterfly,151,1,0.007,0.007,0.006,0.006,bird,1
car1,742,102,0.137,0.137,0.126,0.133,car,69
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,0,0.000,0.000,0.000,0.000,,0
dinosaur,326,0,0.000,0.000,0.000,0.000,,0
diver,241,1,0.004,0.004,0.004,0.004,person,1
drone1,355,0,0.000,0.000,0.000,0.000,,0
drone_across,147,0,0.000,0.000,0.000,0.000,,0
fernando,292,0,0.000,0.000,0.000,0.000,,0
fish1,366,0,0.000,0.000,0.000,0.000,,0
fish2,310,0,0.000,0.000,0.000,0.000,,0
flamingo1,1377,0,0.000,0.000,0.000,0.000,,0
frisbee,248,0,0.000,0.000,0.000,0.000,,0
girl,1500,0,0.000,0.000,0.000,0.000,,0
graduate,844,23,0.027,0.027,0.025,0.026,person,23
gymnastics1,567,0,0.000,0.000,0.000,0.000,,0
gymnastics2,240,0,0.000,0.000,0.000,0.000,,0
gymnastics3,118,0,0.000,0.000,0.000,0.000,,0
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,0,0.000,0.000,0.000,0.000,,0
handball1,377,0,0.000,0.000,0.000,0.000,,0
handball2,402,0,0.000,0.000,0.000,0.000,,0
helicopter,708,0,0.000,0.000,0.000,0.000,,0
iceskater1,661,0,0.000,0.000,0.000,0.000,,0
iceskater2,707,0,0.000,0.000,0.000,0.000,,0
kangaroo,87,0,0.000,0.000,0.000,0.000,,0
lamb,100,0,0.000,0.000,0.000,0.000,,0
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,0,0.000,0.000,0.000,0.000,,0
matrix,100,0,0.000,0.000,0.000,0.000,,0
monkey,101,2,0.020,0.020,0.018,0.019,dog,1
motocross1,164,0,0.000,0.000,0.000,0.000,,0
nature,999,111,0.111,0.111,0.101,0.108,bird,111
polo,111,0,0.000,0.000,0.000,0.000,,0
rabbit,158,0,0.000,0.000,0.000,0.000,,0
rabbit2,100,0,0.000,0.000,0.000,0.000,,0
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,0,0.000,0.000,0.000,0.000,,0
singer2,366,0,0.000,0.000,0.000,0.000,,0
singer3,131,0,0.000,0.000,0.000,0.000,,0
snake,101,0,0.000,0.000,0.000,0.000,,0
soccer1,392,0,0.000,0.000,0.000,0.000,,0
soccer2,129,0,0.000,0.000,0.000,0.000,,0
soldier,138,0,0.000,0.000,0.000,0.000,,0
surfing,120,0,0.000,0.000,0.000,0.000,,0
tennis,213,0,0.000,0.000,0.000,0.000,,0
tiger,365,0,0.000,0.000,0.000,0.000,,0
wheel,101,0,0.000,0.000,0.000,0.000,,0
wiper,341,0,0.000,0.000,0.000,0.000,,0
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
