dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,0,0.000,0.000,0.000,0.000,,0
animal,100,44,0.440,0.440,0.331,0.403,cow,33
ants1,325,0,0.000,0.000,0.000,0.000,,0
bag,311,79,0.254,0.254,0.217,0.242,traffic light,29
ball2,41,0,0.000,0.000,0.000,0.000,,0
ball3,171,19,0.111,0.111,0.083,0.096,sports ball,17
basketball,725,582,0.803,0.799,0.610,0.736,person,582
birds1,339,18,0.053,0.053,0.038,0.046,bird,17
birds2,80,54,0.675,0.673,0.518,0.605,bird,54
bolt1,350,79,0.226,0.225,0.163,0.202,person,79
book,175,36,0.206,0.205,0.169,0.193,book,18
bubble,243,111,0.457,0.455,0.409,0.436,frisbee,74
butterfly,151,38,0.252,0.250,0.212,0.239,bird,38
car1,742,580,0.782,0.777,0.661,0.728,car,505
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,11,0.069,0.069,0.051,0.060,horse,10
dinosaur,326,28,0.086,0.084,0.066,0.077,banana,18
diver,241,51,0.212,0.211,0.166,0.191,person,51
drone1,355,0,0.000,0.000,0.000,0.000,,0
drone_across,147,1,0.007,0.007,0.005,0.006,airplane,1
fernando,292,233,0.798,0.790,0.663,0.734,cat,202
fish1,366,3,0.008,0.008,0.006,0.007,bird,3
fish2,310,4,0.013,0.013,0.010,0.011,bird,4
flamingo1,1377,0,0.000,0.000,0.000,0.000,,0
frisbee,248,74,0.298,0.298,0.223,0.262,frisbee,74
girl,1500,1375,0.917,0.911,0.715,0.831,person,1375
graduate,844,496,0.588,0.581,0.469,0.544,person,496
gymnastics1,567,208,0.367,0.360,0.284,0.345,person,208
gymnastics2,240,193,0.804,0.802,0.621,0.725,person,193
gymnastics3,118,24,0.203,0.202,0.146,0.172,person,24
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,0,0.000,0.000,0.000,0.000,,0
handball1,377,0,0.000,0.000,0.000,0.000,,0
handball2,402,0,0.000,0.000,0.000,0.000,,0
helicopter,708,50,0.071,0.070,0.052,0.063,kite,48
iceskater1,661,564,0.853,0.837,0.645,0.776,person,564
iceskater2,707,318,0.450,0.444,0.339,0.400,person,318
kangaroo,87,29,0.333,0.328,0.271,0.302,bird,13
lamb,100,66,0.660,0.657,0.511,0.578,sheep,62
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,0,0.000,0.000,0.000,0.000,,0
matrix,100,4,0.040,0.040,0.029,0.034,person,4
monkey,101,86,0.851,0.849,0.710,0.793,cow,46
motocross1,164,2,0.012,0.012,0.009,0.011,baseball glove,2
nature,999,910,0.911,0.906,0.782,0.863,bird,910
polo,111,31,0.279,0.279,0.208,0.249,person,31
rabbit,158,0,0.000,0.000,0.000,0.000,,0
rabbit2,100,65,0.650,0.648,0.516,0.580,dog,46
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,0,0.000,0.000,0.000,0.000,,0
singer2,366,231,0.631,0.622,0.496,0.565,person,231
singer3,131,0,0.000,0.000,0.000,0.000,,0
snake,101,1,0.010,0.010,0.007,0.008,bird,1
soccer1,392,5,0.013,0.013,0.010,0.011,person,5
soccer2,129,13,0.101,0.101,0.072,0.088,person,13
soldier,138,1,0.007,0.007,0.006,0.007,person,1
surfing,120,21,0.175,0.175,0.127,0.160,person,21
tennis,213,0,0.000,0.000,0.000,0.000,,0
tiger,365,3,0.008,0.008,0.006,0.007,bird,3
wheel,101,0,0.000,0.000,0.000,0.000,,0
wiper,341,181,0.531,0.529,0.412,0.475,car,130
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
