dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,1,0.010,0.010,0.007,0.008,dog,1
animal,100,53,0.530,0.530,0.392,0.483,cow,40
ants1,325,1,0.003,0.003,0.002,0.003,bird,1
bag,311,82,0.264,0.263,0.224,0.250,traffic light,30
ball2,41,4,0.098,0.098,0.060,0.082,sports ball,4
ball3,171,45,0.263,0.263,0.178,0.206,sports ball,35
basketball,725,684,0.943,0.938,0.701,0.851,person,684
birds1,339,221,0.652,0.651,0.391,0.517,bird,218
birds2,80,60,0.750,0.748,0.567,0.667,bird,60
bolt1,350,344,0.983,0.979,0.653,0.833,person,344
book,175,40,0.229,0.228,0.183,0.211,book,19
bubble,243,117,0.481,0.480,0.424,0.455,frisbee,78
butterfly,151,38,0.252,0.250,0.212,0.239,bird,38
car1,742,691,0.931,0.924,0.755,0.844,car,616
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,20,0.125,0.125,0.087,0.105,horse,17
dinosaur,326,51,0.156,0.152,0.111,0.132,banana,34
diver,241,129,0.535,0.532,0.359,0.440,person,129
drone1,355,5,0.014,0.014,0.008,0.012,airplane,5
drone_across,147,8,0.054,0.054,0.033,0.044,airplane,6
fernando,292,237,0.812,0.803,0.672,0.745,cat,206
fish1,366,5,0.014,0.014,0.009,0.011,bird,5
fish2,310,8,0.026,0.026,0.017,0.022,bird,8
flamingo1,1377,0,0.000,0.000,0.000,0.000,,0
frisbee,248,157,0.633,0.633,0.418,0.517,frisbee,140
girl,1500,1474,0.983,0.977,0.758,0.885,person,1474
graduate,844,752,0.891,0.883,0.654,0.796,person,752
gymnastics1,567,524,0.924,0.910,0.632,0.830,person,524
gymnastics2,240,230,0.958,0.955,0.722,0.849,person,230
gymnastics3,118,60,0.508,0.505,0.333,0.401,person,60
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,0,0.000,0.000,0.000,0.000,,0
handball1,377,34,0.090,0.090,0.049,0.072,person,34
handball2,402,20,0.050,0.050,0.028,0.039,person,20
helicopter,708,440,0.621,0.610,0.390,0.522,kite,257
iceskater1,661,657,0.994,0.975,0.739,0.896,person,657
iceskater2,707,532,0.752,0.740,0.525,0.639,person,532
kangaroo,87,34,0.391,0.384,0.307,0.347,bird,16
lamb,100,93,0.930,0.926,0.686,0.791,sheep,87
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,1,0.010,0.010,0.005,0.007,person,1
matrix,100,9,0.090,0.090,0.060,0.073,person,9
monkey,101,91,0.901,0.898,0.743,0.833,cow,50
motocross1,164,2,0.012,0.012,0.009,0.011,baseball glove,2
nature,999,946,0.947,0.942,0.806,0.892,bird,946
polo,111,108,0.973,0.971,0.647,0.804,person,108
rabbit,158,2,0.013,0.013,0.008,0.011,dog,1
rabbit2,100,74,0.740,0.738,0.574,0.649,dog,54
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,1,0.003,0.003,0.002,0.002,person,1
singer2,366,361,0.986,0.969,0.716,0.838,person,361
singer3,131,24,0.183,0.150,0.113,0.140,person,24
snake,101,2,0.020,0.020,0.013,0.016,bird,2
soccer1,392,8,0.020,0.020,0.015,0.017,person,8
soccer2,129,88,0.682,0.682,0.442,0.575,person,88
soldier,138,2,0.014,0.014,0.011,0.013,person,2
surfing,120,118,0.983,0.982,0.642,0.871,person,118
tennis,213,0,0.000,0.000,0.000,0.000,,0
tiger,365,6,0.016,0.016,0.012,0.014,bird,6
wheel,101,1,0.010,0.010,0.006,0.008,skateboard,1
wiper,341,251,0.736,0.734,0.539,0.635,car,196
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
