dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,1,0.010,0.010,0.007,0.008,dog,1
animal,100,53,0.530,0.530,0.392,0.483,cow,40
ants1,325,2,0.006,0.006,0.003,0.005,bird,2
bag,311,86,0.277,0.276,0.229,0.257,traffic light,30
ball2,41,5,0.122,0.122,0.071,0.098,sports ball,5
ball3,171,51,0.298,0.298,0.192,0.223,sports ball,39
basketball,725,706,0.974,0.968,0.711,0.867,person,706
birds1,339,296,0.873,0.872,0.481,0.652,bird,293
birds2,80,76,0.950,0.948,0.634,0.767,bird,76
bolt1,350,345,0.986,0.982,0.654,0.835,person,345
book,175,44,0.251,0.251,0.192,0.224,book,20
bubble,243,118,0.486,0.484,0.426,0.457,frisbee,79
butterfly,151,39,0.258,0.257,0.215,0.243,bird,39
car1,742,702,0.946,0.938,0.761,0.853,car,627
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,24,0.150,0.150,0.096,0.118,horse,20
dinosaur,326,65,0.199,0.193,0.124,0.150,banana,34
diver,241,152,0.631,0.627,0.401,0.499,person,152
drone1,355,7,0.020,0.020,0.010,0.017,airplane,7
drone_across,147,12,0.082,0.082,0.046,0.062,airplane,7
fernando,292,284,0.973,0.958,0.717,0.816,cat,226
fish1,366,7,0.019,0.019,0.012,0.015,bird,7
fish2,310,18,0.058,0.057,0.028,0.038,bird,18
flamingo1,1377,476,0.346,0.342,0.041,0.076,bird,476
frisbee,248,217,0.875,0.874,0.520,0.665,frisbee,185
girl,1500,1486,0.991,0.985,0.761,0.889,person,1486
graduate,844,772,0.915,0.907,0.665,0.814,person,772
gymnastics1,567,542,0.956,0.942,0.646,0.851,person,542
gymnastics2,240,240,1.000,0.996,0.741,0.875,person,240
gymnastics3,118,82,0.695,0.688,0.400,0.493,person,82
hand,267,8,0.030,0.029,0.004,0.006,cell phone,3
hand2,145,2,0.014,0.014,0.003,0.003,remote,2
handball1,377,293,0.777,0.774,0.279,0.485,person,293
handball2,402,86,0.214,0.213,0.092,0.139,person,86
helicopter,708,553,0.781,0.767,0.457,0.637,kite,356
iceskater1,661,657,0.994,0.975,0.739,0.896,person,657
iceskater2,707,664,0.939,0.920,0.585,0.728,person,664
kangaroo,87,41,0.471,0.462,0.330,0.378,bird,20
lamb,100,97,0.970,0.965,0.703,0.813,sheep,91
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,4,0.040,0.040,0.009,0.015,person,4
matrix,100,43,0.430,0.405,0.137,0.197,person,43
monkey,101,91,0.901,0.898,0.743,0.833,cow,50
motocross1,164,30,0.183,0.179,0.037,0.055,clock,26
nature,999,952,0.953,0.947,0.807,0.895,bird,952
polo,111,109,0.982,0.980,0.651,0.810,person,109
rabbit,158,2,0.013,0.013,0.008,0.011,dog,1
rabbit2,100,74,0.740,0.738,0.574,0.649,dog,54
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,235,0.644,0.556,0.083,0.150,person,235
singer2,366,366,1.000,0.983,0.723,0.847,person,366
singer3,131,96,0.733,0.592,0.245,0.349,person,96
snake,101,2,0.020,0.020,0.013,0.016,bird,2
soccer1,392,148,0.378,0.334,0.075,0.123,person,148
soccer2,129,100,0.775,0.775,0.481,0.633,person,100
soldier,138,4,0.029,0.028,0.014,0.018,person,4
surfing,120,118,0.983,0.982,0.642,0.871,person,118
tennis,213,114,0.535,0.533,0.139,0.217,tennis racket,111
tiger,365,10,0.027,0.027,0.016,0.020,bird,10
wheel,101,5,0.050,0.049,0.017,0.028,skateboard,5
wiper,341,274,0.804,0.801,0.567,0.676,car,219
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
