dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,1,0.010,0.010,0.007,0.008,dog,1
animal,100,53,0.530,0.530,0.392,0.483,cow,40
ants1,325,1,0.003,0.003,0.002,0.003,bird,1
bag,311,82,0.264,0.263,0.224,0.250,traffic light,30
ball2,41,2,0.049,0.049,0.032,0.042,sports ball,2
ball3,171,34,0.199,0.199,0.141,0.163,sports ball,28
basketball,725,669,0.923,0.918,0.689,0.836,person,669
birds1,339,95,0.280,0.280,0.185,0.234,bird,93
birds2,80,60,0.750,0.748,0.567,0.667,bird,60
bolt1,350,306,0.874,0.871,0.591,0.751,person,306
book,175,38,0.217,0.216,0.176,0.203,book,19
bubble,243,116,0.477,0.476,0.422,0.452,frisbee,77
butterfly,151,38,0.252,0.250,0.212,0.239,bird,38
car1,742,657,0.885,0.879,0.729,0.811,car,582
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,18,0.113,0.112,0.080,0.097,horse,15
dinosaur,326,46,0.141,0.138,0.102,0.121,banana,30
diver,241,88,0.365,0.363,0.265,0.316,person,88
drone1,355,0,0.000,0.000,0.000,0.000,,0
drone_across,147,5,0.034,0.034,0.022,0.030,airplane,5
fernando,292,237,0.812,0.803,0.672,0.745,cat,206
fish1,366,4,0.011,0.011,0.008,0.009,bird,4
fish2,310,4,0.013,0.013,0.010,0.011,bird,4
flamingo1,1377,0,0.000,0.000,0.000,0.000,,0
frisbee,248,107,0.431,0.431,0.310,0.371,frisbee,106
girl,1500,1462,0.975,0.969,0.754,0.879,person,1462
graduate,844,647,0.767,0.759,0.585,0.697,person,647
gymnastics1,567,436,0.769,0.757,0.544,0.703,person,436
gymnastics2,240,224,0.933,0.930,0.708,0.831,person,224
gymnastics3,118,43,0.364,0.362,0.253,0.300,person,43
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,0,0.000,0.000,0.000,0.000,,0
handball1,377,2,0.005,0.005,0.003,0.004,person,2
handball2,402,3,0.007,0.007,0.005,0.006,person,3
helicopter,708,280,0.395,0.387,0.265,0.336,kite,138
iceskater1,661,657,0.994,0.975,0.739,0.896,person,657
iceskater2,707,444,0.628,0.619,0.456,0.547,person,444
kangaroo,87,33,0.379,0.373,0.301,0.339,bird,16
lamb,100,88,0.880,0.876,0.658,0.755,sheep,82
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,0,0.000,0.000,0.000,0.000,,0
matrix,100,7,0.070,0.070,0.048,0.058,person,7
monkey,101,91,0.901,0.898,0.743,0.833,cow,50
motocross1,164,2,0.012,0.012,0.009,0.011,baseball glove,2
nature,999,945,0.946,0.941,0.805,0.892,bird,945
polo,111,87,0.784,0.782,0.539,0.664,person,87
rabbit,158,2,0.013,0.013,0.008,0.011,dog,1
rabbit2,100,72,0.720,0.718,0.563,0.635,dog,52
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,0,0.000,0.000,0.000,0.000,,0
singer2,366,319,0.872,0.857,0.653,0.756,person,319
singer3,131,13,0.099,0.083,0.065,0.079,person,13
snake,101,1,0.010,0.010,0.007,0.008,bird,1
soccer1,392,6,0.015,0.015,0.012,0.014,person,6
soccer2,129,73,0.566,0.566,0.377,0.483,person,73
soldier,138,2,0.014,0.014,0.011,0.013,person,2
surfing,120,98,0.817,0.816,0.547,0.728,person,98
tennis,213,0,0.000,0.000,0.000,0.000,,0
tiger,365,6,0.016,0.016,0.012,0.014,bird,6
wheel,101,0,0.000,0.000,0.000,0.000,,0
wiper,341,229,0.672,0.670,0.504,0.588,car,176
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
